customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
2259,AW00013258,Anne Dominguez,63,50 and above,VIP,2013-12-14,139,4,8886,10,10,2221.5,253.89
2,AW00011001,Eugene Huang,49,40-49,VIP,2013-12-10,139,3,6384,11,10,2128.0,182.4
240,AW00011239,Latoya Goel,56,50 and above,VIP,2013-05-28,146,4,7511,11,11,1877.75,268.25
2260,AW00013259,Allen Garcia,62,50 and above,VIP,2013-11-18,140,4,7853,14,13,1963.25,230.97
1125,AW00012124,Brandi Gill,63,50 and above,VIP,2013-10-07,141,5,13195,12,11,2639.0,399.85
1133,AW00012132,Kaitlyn Henderson,64,50 and above,VIP,2013-10-17,141,5,13294,14,13,2658.8,402.85
2601,AW00013600,Marie Sanz,69,50 and above,VIP,2013-07-03,144,3,8460,11,11,2820.0,291.72
245,AW00011244,Alexis Coleman,57,50 and above,VIP,2013-07-19,144,4,7175,12,11,1793.75,247.41
248,AW00011247,Claudia Zhou,64,50 and above,VIP,2013-08-17,143,4,7131,12,11,1782.75,237.7
33,AW00011032,Denise Stone,73,50 and above,VIP,2013-11-08,140,3,6525,10,10,2175.0,197.73
244,AW00011243,Robin Alvarez,62,50 and above,VIP,2013-06-09,145,4,7164,12,10,1791.0,255.86
1132,AW00012131,Randall Dominguez,64,50 and above,VIP,2013-10-10,141,5,13265,11,11,2653.0,414.53
241,AW00011240,Anne Hernandez,61,50 and above,VIP,2013-05-13,146,4,7586,13,10,1896.5,280.96
251,AW00011250,Shannon Liu,59,50 and above,VIP,2013-08-06,143,4,7115,11,10,1778.75,245.34
2580,AW00013579,Alan Chen,68,50 and above,VIP,2013-11-18,140,4,7294,10,10,1823.5,227.94
3428,AW00014427,Emmanuel Patel,64,50 and above,VIP,2013-08-27,143,3,8451,10,9,2817.0,301.82
71,AW00011070,Willie Raji,65,50 and above,VIP,2013-06-26,145,3,8165,10,9,2721.6666666666665,314.04
2772,AW00013771,Victor Moreno,46,40-49,VIP,2013-10-15,141,3,6535,10,10,2178.3333333333335,225.34
1302,AW00012301,Nichole Nara,73,50 and above,VIP,2013-11-20,140,5,13294,13,11,2658.8,443.13
121,AW00011120,Beth Jim├®nez,83,50 and above,VIP,2013-09-19,142,3,8242,10,10,2747.3333333333335,294.36
1297,AW00012296,Francisco Sara,64,50 and above,VIP,2013-10-25,141,5,13164,12,9,2632.8,453.93
1301,AW00012300,Adriana Gonzalez,73,50 and above,VIP,2013-10-17,141,5,13242,10,10,2648.4,456.62
1308,AW00012307,Brad She,65,50 and above,VIP,2013-11-17,140,5,13172,11,10,2634.4,439.07
1322,AW00012321,Rosa Hu,69,50 and above,VIP,2013-11-21,140,5,13215,15,12,2643.0,455.69
1309,AW00012308,Margaret He,55,50 and above,VIP,2013-11-19,140,5,13268,14,14,2653.6,457.52
1333,AW00012332,Andres Nara,71,50 and above,VIP,2013-06-24,145,4,10789,10,10,2697.25,449.54
1334,AW00012333,Terrance Rodriguez,71,50 and above,VIP,2013-06-05,145,4,10829,11,9,2707.25,451.21
369,AW00011368,Edward Miller,41,40-49,VIP,2013-12-01,139,3,5105,11,11,1701.6666666666667,170.17
1324,AW00012323,Lawrence Alonso,63,50 and above,VIP,2013-05-15,146,4,10836,11,11,2709.0,471.13
458,AW00011457,Jaime Gutierrez,47,40-49,VIP,2013-06-01,145,3,8211,10,9,2737.0,357.0
457,AW00011456,Jon Gao,45,40-49,VIP,2013-05-31,146,3,8224,11,10,2741.3333333333335,373.82
3172,AW00014171,Michele Lal,75,50 and above,VIP,2013-12-12,139,3,6616,10,10,2205.3333333333335,236.29
4060,AW00015059,Lisa Zhu,55,50 and above,VIP,2013-12-20,139,3,6793,10,9,2264.3333333333335,242.61
